County,Date of Tier Assessment,Ending Date of Week of Data: 03-07-21 to 03-13-21,Final Tier Assignment for 03-23-21,"Previous Tier Assignment, 03-15-21 Assessment",First Date in Current Tier,County Tier Assignment Based on Meeting Accelerated Health Equity Criteria,Number of Weeks in Current Tier,Number of Consecutive Weeks Meeting Criteria for Less Restrictive Tier,Number of Consecutive Weeks Meeting Criteria for More Restrictive Tier,"Tier for Week 03-07-21 to 03-13-21, 03-22-21 Assessment","Test Positivity excl prisons (7-day, 7-day lag)","Case Rate Used for Tier Adjusted Using Linear Adjustment (7-day avg, 7-day lag)","Unadjusted Case Rate per 100,000 excl prisons (7-day avg, 7-day lag)",Linear Adjustment Factor Applied to Case Rate,"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg, 7-day lag)

State Median Testing Rate=
317.49",Population^,County Exceeds Minimum Number of Weekly Cases Based on Population and Current Tier,"Health Equity Quartile Test Positivity Excl Prison Cases (7 day, 7 day lag)",HE Quartile (Test Positivity%) Within Threshold for Less Restrictive Tier (Non-Accelerated),Number of Consecutive Weeks of Health Equity Metric Towards Movement to Less Restrictive Tier (Non-Accelerated),Eligible for Accelerated Health Equity Criteria to Move to Less Restrictive Tier (If No Progression Via Non-Accelerated Criteria),Number of Consecutive Weeks Towards Movement to Less Restrictive Tier with Accelerated Healthy Equity Criteria
Alameda,03-22-2021,03-13-2021,2,2,03-08-2021,No,2,2,0,3,1.4,3.3,4.6,0.714,499.2,1685886,NA,2.4,Yes,2,No,0
Alpine*,03-22-2021,03-13-2021,4,4,03-08-2021,NA,2,NA,0,1,0.0,12.8,12.8,  ,153.5,1117,No,  ,NA,NA,NA,NA
Amador,03-22-2021,03-13-2021,2,2,03-08-2021,NA,2,0,0,2,1.8,5.6,5.6,  ,420.4,38531,No,  ,NA,NA,NA,NA
Butte,03-22-2021,03-13-2021,2,2,03-08-2021,No,2,1,0,3,2.1,3.9,3.9,  ,250.3,217769,NA,2.9,Yes,2,No,0
Calaveras,03-22-2021,03-13-2021,2,2,03-08-2021,NA,2,1,0,3,1.5,3.2,3.2,  ,234.2,44289,No,  ,NA,NA,NA,NA
Colusa,03-22-2021,03-13-2021,2,2,03-08-2021,NA,2,2,0,3,0.9,2.5,2.5,  ,209.9,22593,No,  ,NA,NA,NA,NA
Contra Costa,03-22-2021,03-13-2021,2,2,03-08-2021,No,2,0,0,2,2.1,5.5,6.5,0.849,413.6,1160099,NA,4.2,Yes,2,No,0
Del Norte*,03-22-2021,03-13-2021,2,2,02-08-2021,NA,6,0,0,1,3.3,15.0,15.0,  ,672.3,27558,No,  ,NA,NA,NA,NA
El Dorado,03-22-2021,03-13-2021,2,2,03-01-2021,No,3,1,0,3,1.9,3.0,3.0,  ,234.7,193098,NA,2.0,Yes,2,No,0
Fresno,03-22-2021,03-13-2021,1,1,11-16-2020,No,18,1,0,2,4.5,9.6,9.4,1.022,299.6,1032227,NA,6.1,Yes,4,No,0
